version,norm_from_train,img_augment,connection_weights,distance_weights,val_frac,val_metric,model_name,pretrained,batch_size,loss,LS_focal_alpha,lr,scheduler,LR_StepLR_step_size,LR_StepLR_gamma,LR_CosineAnnealingWarmRestarts_T_0,optimizer,OPT_AdamW_weight_decay,max_epochs,early_stop_patience,version_run,test-set,trainings_per_test,iter_threshold,eval_ejc_version
0,False,False,True,False,0.1,F1_Score,resnet34,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[0],1,,
1,False,False,True,False,0.1,F1_Score,resnet50,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[0],1,,
2,False,False,True,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",1,,
3,False,False,True,False,0.1,F1_Score,congedvnext_small,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[0],1,,
4,False,False,True,False,0.1,F1_Score,resnet50.a1_in1k,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[0],1,,
5,True,False,True,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[0],1,,
6,False,False,True,True,0.1,F1_Score,res2net50_26w_4s,True,4,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[21],1,,
7,False,False,True,False,0.1,F1_Score,res2net50_26w_4s,True,4,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,Trgediue,[22],1,,
8,False,False,True,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[24],1,,
9,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 22, 23, 24]",1,,
10,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,dice,,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[7],1,,
11,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[10],10,0.5,
12,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[26],10,0.5,
13,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[25],10,0.5,
14,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[27],10,0.5,
15,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[28, 29, 30]",10,0.5,
16,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[31, 34]",10,0.5,
17,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[35, 36]",10,0.5,
18,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[38],10,0.5,
19,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[39],10,0.5,
20,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,[37],10,0.5,
21,False,False,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,10,0.9,,AdamW,0.1,200,20,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 40]",10,0.5,
22,False,True,False,False,0.1,F1_Score,res2net50_26w_4s,True,64,focal,0.1,0.0001,StepLR,50,0.9,,AdamW,0.1,200,30,True,[10],1,0.5,21
23,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]",10,0.5,
24,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,[42],10,0.5,24
25,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[62, 63]",10,0.5,
26,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",10,0.5,
27,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[75, 76, 77, 78, 79]",1,0.5,
28,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,[79],10,0.5,108
29,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94]",10,0.5,
30,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,[105],10,0.5,
31,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[95, 96, 97, 98, 99, 100, 101, 102, 103, 104]",10,0.5,
32,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,[61],10,0.5,
33,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",10,0.5,
34,False,False,False,False,0.1,F1_Score,densenet169.tv_in1k,True,64,focal,0.1,0.0001,CosineAnnealingWarmRestarts,10,0.9,10,Adam,,200,20,True,"[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]",10,0.5,
